time  level  longitude  latitude
0    3794     10        119         7
1    4009     10          7         9
2    6569     10         66         6
3    7115     10         79         5
4    8211     10         40        13
5   24485     10         53         8
6   25009     11         12        50
7   27055     10         32        10
8   30457     10         61         7
9   32658     10         76        11
10  35460     10         62         3
11  37441     10        110         8
12  39811     10         59         7
13  41682     10        119         3
14  41687     10         34         9
